,time_cost,balance,running_time
GA,"{'mean': 95.85316666666667, 'std': 35.658922101612795}","{'mean': 80.74643333333334, 'std': 8.232471146759167}","{'mean': 264.18666666666667, 'std': 48.765777845625394}"
SA,"{'mean': 98.98983333333332, 'std': 36.31891883562738}","{'mean': 55.66106666666667, 'std': 13.379526821312558}","{'mean': 311.13, 'std': 67.73041119024745}"
NSGA-II,"{'mean': 92.26163333333334, 'std': 34.586468944693124}","{'mean': 14.102066666666666, 'std': 8.185796469630931}","{'mean': 83.52, 'std': 7.036177939762467}"
GNN+DiSPN,"{'mean': 104.56009999999999, 'std': 33.01876427013383}","{'mean': 97.09222233333334, 'std': 25.017347813857175}","{'mean': 2.1666666666666665, 'std': 0.489648399931579}"
NWC-APONet,"{'mean': 88.3653, 'std': 33.97404458475127}","{'mean': 50.57749999999999, 'std': 15.472616498985746}","{'mean': 2.02, 'std': 0.3634097778908359}"
